epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.309,1.8738,2.58541,1.05692,0.37542,0.16261,0.12739,0.06561,0.06863,1.65396,1.49312,0.99514,0.00333127,0.00333127,0.00333127
2,621.97,1.79215,1.67036,1.03983,0.35147,0.20137,0.1715,0.08722,0.0923,1.65082,1.39552,0.99959,0.00659863,0.00659863,0.00659863
3,829.358,1.7929,1.58659,1.04253,0.26504,0.20641,0.17535,0.09125,0.09511,1.66717,1.3507,1.00641,0.00979998,0.00979998,0.00979998
4,1028.81,1.79109,1.56593,1.04535,0.31482,0.21134,0.18128,0.09751,0.10033,1.62974,1.34095,0.99661,0.009703,0.009703,0.009703
5,1235.92,1.75526,1.49918,1.03149,0.29844,0.23671,0.204,0.10978,0.11155,1.5883,1.28454,0.99082,0.009604,0.009604,0.009604
6,1457.54,1.71097,1.43801,1.02142,0.3397,0.24037,0.21201,0.1141,0.11807,1.55164,1.24177,0.97622,0.009505,0.009505,0.009505
7,1651.17,1.69255,1.40146,1.01728,0.3125,0.24559,0.21577,0.11927,0.12062,1.54748,1.23442,0.97734,0.009406,0.009406,0.009406
8,1851.71,1.67336,1.37099,1.01291,0.34659,0.24815,0.228,0.12501,0.12773,1.536,1.20787,0.97004,0.009307,0.009307,0.009307
9,2053.23,1.65318,1.33446,1.00573,0.32486,0.25653,0.23372,0.12545,0.12961,1.5307,1.19605,0.97352,0.009208,0.009208,0.009208
10,2249.49,1.64905,1.32173,1.00004,0.33722,0.26083,0.23998,0.13224,0.13386,1.52632,1.183,0.97165,0.009109,0.009109,0.009109
11,2449.73,1.63302,1.2997,0.99675,0.34719,0.26524,0.24124,0.12874,0.13458,1.50974,1.18398,0.96876,0.00901,0.00901,0.00901
12,2643.23,1.62262,1.29178,0.99563,0.36047,0.26049,0.24525,0.13184,0.13619,1.49366,1.15229,0.96114,0.008911,0.008911,0.008911
13,2843.51,1.60983,1.26774,0.9941,0.35258,0.26831,0.24926,0.13228,0.13848,1.49056,1.14707,0.95943,0.008812,0.008812,0.008812
14,3045.2,1.5933,1.24729,0.99164,0.37116,0.27742,0.25878,0.13974,0.14504,1.47999,1.12391,0.95995,0.008713,0.008713,0.008713
15,3244.55,1.59148,1.23361,0.98555,0.35899,0.27766,0.25966,0.14284,0.14598,1.47697,1.1204,0.96031,0.008614,0.008614,0.008614
16,3445.34,1.58186,1.23161,0.9828,0.35898,0.27588,0.25628,0.14118,0.14499,1.47333,1.13079,0.95666,0.008515,0.008515,0.008515
17,3647.31,1.5764,1.21881,0.98422,0.36317,0.28314,0.26408,0.14495,0.14875,1.46921,1.11356,0.95674,0.008416,0.008416,0.008416
18,3847.51,1.56593,1.20595,0.98155,0.37323,0.28435,0.26657,0.14509,0.14958,1.46181,1.11344,0.95486,0.008317,0.008317,0.008317
19,4041.08,1.55401,1.19261,0.97828,0.36421,0.28544,0.26983,0.14854,0.15304,1.45583,1.09949,0.95269,0.008218,0.008218,0.008218
20,4242.44,1.55678,1.18446,0.97755,0.39126,0.28091,0.273,0.15155,0.15514,1.44767,1.0973,0.94667,0.008119,0.008119,0.008119
21,4437.95,1.5538,1.1793,0.97589,0.36591,0.2849,0.27228,0.1477,0.1541,1.44201,1.09025,0.94818,0.00802,0.00802,0.00802
22,4631.34,1.5434,1.17092,0.97435,0.37553,0.28858,0.27501,0.15019,0.15589,1.43032,1.08047,0.94444,0.007921,0.007921,0.007921
23,4825.7,1.53645,1.16461,0.97386,0.3819,0.28886,0.27813,0.15186,0.15785,1.43561,1.08055,0.94874,0.007822,0.007822,0.007822
24,5024,1.53267,1.15394,0.97165,0.38672,0.28428,0.27673,0.15582,0.15815,1.43256,1.07771,0.94504,0.007723,0.007723,0.007723
25,5226.46,1.52368,1.14284,0.97116,0.38346,0.29687,0.28216,0.15474,0.1597,1.4321,1.07602,0.94268,0.007624,0.007624,0.007624
26,5421.84,1.52741,1.14544,0.9695,0.38747,0.28751,0.28199,0.15634,0.16036,1.42197,1.07001,0.94026,0.007525,0.007525,0.007525
27,5621.18,1.50712,1.13474,0.96758,0.38513,0.29694,0.28686,0.16247,0.16492,1.42304,1.05822,0.9408,0.007426,0.007426,0.007426
28,5822.69,1.51953,1.13324,0.9655,0.38527,0.29318,0.28364,0.1589,0.16232,1.42255,1.05926,0.94265,0.007327,0.007327,0.007327
29,6027.13,1.51594,1.12765,0.96359,0.39016,0.29375,0.28837,0.16137,0.16566,1.41068,1.06026,0.93683,0.007228,0.007228,0.007228
30,6227.2,1.51221,1.11901,0.96432,0.38978,0.30154,0.29149,0.16307,0.16684,1.40526,1.05526,0.93833,0.007129,0.007129,0.007129
31,6420.37,1.50328,1.11554,0.96217,0.38182,0.29831,0.28823,0.15785,0.16412,1.41018,1.05181,0.93754,0.00703,0.00703,0.00703
32,6614.7,1.49708,1.10591,0.96007,0.40067,0.30049,0.29485,0.16462,0.16842,1.40484,1.04588,0.93724,0.006931,0.006931,0.006931
33,6815.88,1.50395,1.11044,0.96071,0.39662,0.30448,0.29531,0.16414,0.16905,1.40133,1.03881,0.93573,0.006832,0.006832,0.006832
34,7012.19,1.4982,1.10185,0.95992,0.40175,0.30195,0.29493,0.16691,0.16889,1.39902,1.03921,0.93742,0.006733,0.006733,0.006733
35,7205.66,1.4945,1.0991,0.95739,0.39748,0.30002,0.29314,0.1645,0.16864,1.39222,1.03211,0.93552,0.006634,0.006634,0.006634
36,7409.78,1.48282,1.09573,0.95951,0.39981,0.30781,0.29882,0.17095,0.17269,1.3959,1.03661,0.93574,0.006535,0.006535,0.006535
37,7606.13,1.48126,1.08875,0.95732,0.40435,0.30235,0.30022,0.17071,0.1724,1.38922,1.02726,0.93389,0.006436,0.006436,0.006436
